Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,RainToday,RainTomorrow
1/1/2013,Albury,12.1,34.5,0,NA,NA,W,44,No,No
1/2/2013,Albury,13.8,33.6,0,NA,NA,SSE,28,No,No
1/3/2013,Albury,15.8,36.9,0,NA,NA,E,22,No,No
1/4/2013,Albury,18.6,40.7,0,NA,NA,ENE,44,No,No
1/5/2013,Albury,19.8,43.4,0,NA,NA,NW,81,No,Yes
1/6/2013,Albury,20.9,42,12.6,NA,NA,SSE,39,Yes,No
1/7/2013,Albury,21.9,40.4,0,NA,NA,NNW,41,No,No
1/8/2013,Albury,21.9,39.2,0,NA,NA,WNW,78,No,No
1/9/2013,Albury,13.3,25.1,0,NA,NA,WSW,52,No,No
1/10/2013,Albury,11.2,32.2,0,NA,NA,NNE,31,No,No
1/11/2013,Albury,14.5,38.8,0,NA,NA,NNW,37,No,No
1/12/2013,Albury,17,28.8,0,NA,NA,W,37,No,No
1/13/2013,Albury,18.1,22.3,0,NA,NA,SW,33,No,Yes
1/14/2013,Albury,8.9,27.1,3.2,NA,NA,SSE,39,Yes,No
1/15/2013,Albury,11.2,31.4,0,NA,NA,WNW,30,No,No
1/16/2013,Albury,13.6,36.1,0,NA,NA,NW,35,No,No
1/17/2013,Albury,15.5,39.9,0,NA,NA,W,35,No,No
1/18/2013,Albury,18.9,43.1,0,NA,NA,W,65,No,No
1/19/2013,Albury,18.1,32.2,0.8,NA,NA,W,28,No,No
1/20/2013,Albury,16.4,34.6,0,NA,NA,ENE,22,No,No
1/21/2013,Albury,19.2,36.8,0,NA,NA,N,50,No,No
1/22/2013,Albury,16.6,36.5,0.2,NA,NA,WSW,52,No,No
1/23/2013,Albury,15.7,34,0,NA,NA,SE,30,No,No
1/24/2013,Albury,15.9,37,0,NA,NA,NNW,46,No,No
1/25/2013,Albury,21.2,35.2,0,NA,NA,NNE,43,No,No
1/26/2013,Albury,21.6,36.5,0,NA,NA,ENE,46,No,No
1/27/2013,Albury,15.3,32.9,0,NA,NA,WNW,31,No,No
1/28/2013,Albury,18.4,34.7,0,NA,NA,ENE,54,No,No
1/29/2013,Albury,20.4,32.1,0,NA,NA,W,50,No,No
1/30/2013,Albury,9.9,29.9,0,NA,NA,N,33,No,No
1/31/2013,Albury,11.5,33.9,0,NA,NA,WNW,48,No,No
3/1/2013,Albury,16.9,26.6,0.4,NA,NA,SE,50,No,No
3/2/2013,Albury,14.3,29.2,0,NA,NA,ESE,41,No,No
3/3/2013,Albury,12,31.8,0,NA,NA,ENE,37,No,No
3/4/2013,Albury,12.8,31,0,NA,NA,ENE,24,No,No
3/5/2013,Albury,13.5,30.9,0,NA,NA,ENE,31,No,No
3/6/2013,Albury,14.4,31.3,0,NA,NA,E,28,No,No
3/7/2013,Albury,16.6,33.8,0,NA,NA,SSE,30,No,No
3/8/2013,Albury,17.9,34.9,0,NA,NA,ESE,37,No,No
3/9/2013,Albury,18.6,33,0,NA,NA,S,30,No,No
3/10/2013,Albury,19.7,35.1,0,NA,NA,SE,24,No,No
3/11/2013,Albury,20.1,35.7,0,NA,NA,N,26,No,No
3/12/2013,Albury,19.4,33.7,0,NA,NA,NE,35,No,No
3/13/2013,Albury,17.7,33.9,0,NA,NA,W,35,No,No
3/14/2013,Albury,15.5,30.7,0,NA,NA,NNW,31,No,No
3/15/2013,Albury,13.8,31.7,0,NA,NA,ESE,22,No,No
3/16/2013,Albury,12,27.5,0,NA,NA,SW,46,No,No
3/17/2013,Albury,11.1,23,0.2,NA,NA,W,35,No,No
3/18/2013,Albury,7.1,24.1,0,NA,NA,SSE,33,No,No
3/19/2013,Albury,9.1,26.3,0,NA,NA,E,26,No,No
3/20/2013,Albury,9.9,28.6,0,NA,NA,WSW,46,No,Yes
3/21/2013,Albury,14.9,20.2,2.6,NA,NA,N,67,Yes,Yes
3/22/2013,Albury,10.1,23.3,17.4,NA,NA,NNW,33,Yes,No
3/23/2013,Albury,9,24.2,0,NA,NA,W,28,No,No
3/24/2013,Albury,9.5,28.3,0,NA,NA,W,41,No,No
3/25/2013,Albury,10.3,27.7,0,NA,NA,NW,31,No,No
3/26/2013,Albury,14.9,31.3,0,NA,NA,N,33,No,No
3/27/2013,Albury,13.8,35.1,0,NA,NA,WNW,61,No,Yes
3/28/2013,Albury,18.3,22.2,10.4,NA,NA,NW,46,Yes,Yes
3/29/2013,Albury,6.6,20.4,19.8,NA,NA,WSW,31,Yes,No
3/30/2013,Albury,7,21.5,0.2,NA,NA,WSW,28,No,No
3/31/2013,Albury,10.9,23,0,NA,NA,WNW,30,No,No
4/1/2013,Albury,8.4,22.9,0,NA,NA,WNW,30,No,No
4/2/2013,Albury,8.5,23.8,0,NA,NA,WNW,30,No,No
4/3/2013,Albury,8.6,22.5,0,NA,NA,SE,35,No,No
4/4/2013,Albury,8.9,24.3,0,NA,NA,SE,22,No,No
4/5/2013,Albury,10.3,25.3,0,NA,NA,SE,19,No,No
4/6/2013,Albury,11.2,25.7,0,NA,NA,SSE,20,No,No
4/7/2013,Albury,10,26.7,0,NA,NA,S,43,No,No
4/8/2013,Albury,11.5,26,0,NA,NA,ESE,17,No,No
4/9/2013,Albury,10.7,26.6,0,NA,NA,SW,19,No,No
4/10/2013,Albury,10.3,27.1,0,NA,NA,WNW,24,No,No
4/11/2013,Albury,10.3,27.6,0,NA,NA,WNW,24,No,No
4/12/2013,Albury,11.4,28.2,0,NA,NA,NNE,28,No,No
4/13/2013,Albury,10.4,26.7,0,NA,NA,N,28,No,No
4/14/2013,Albury,14.4,24.8,0,NA,NA,SSE,17,No,No
4/15/2013,Albury,14.5,23.6,0.8,NA,NA,W,30,No,No
4/16/2013,Albury,8.3,23.8,0,NA,NA,SSE,22,No,No
4/17/2013,Albury,8.9,22.2,0,NA,NA,SW,17,No,No
4/18/2013,Albury,8.6,23.9,0,NA,NA,WSW,39,No,No
4/19/2013,Albury,5.1,17.8,0,NA,NA,SE,48,No,No
4/20/2013,Albury,2.6,20.3,0,NA,NA,SE,35,No,No
4/21/2013,Albury,4,21.1,0,NA,NA,N,46,No,Yes
4/22/2013,Albury,10.6,14.6,7,NA,NA,WNW,26,Yes,Yes
4/23/2013,Albury,10.9,20,1.6,NA,NA,WSW,30,Yes,No
4/24/2013,Albury,6,16.9,0,NA,NA,WSW,30,No,No
4/25/2013,Albury,5.7,20.5,0,NA,NA,WSW,31,No,No
4/26/2013,Albury,6,21.4,0,NA,NA,W,26,No,No
4/27/2013,Albury,5.6,23.1,0,NA,NA,N,24,No,No
4/28/2013,Albury,7.9,26.5,0,NA,NA,WNW,28,No,No
4/29/2013,Albury,7.9,15.8,0.2,NA,NA,W,17,No,Yes
4/30/2013,Albury,8.6,20.4,2.6,NA,NA,WSW,19,Yes,No
5/1/2013,Albury,9.3,17.9,0.2,NA,NA,WSW,33,No,No
5/2/2013,Albury,2.5,18.6,0,NA,NA,SSE,24,No,No
5/3/2013,Albury,1.7,20.6,0,NA,NA,NE,22,No,No
5/4/2013,Albury,6.6,19.7,0.4,NA,NA,W,28,No,No
5/5/2013,Albury,1.6,17.9,0,NA,NA,SSE,17,No,No
5/6/2013,Albury,2.5,18.6,0,NA,NA,SE,22,No,No
5/10/2013,Albury,6.2,23.2,NA,NA,NA,SE,13,NA,No
5/11/2013,Albury,5.7,23.4,0,NA,NA,SE,24,No,No
5/12/2013,Albury,5,24.2,0,NA,NA,NNE,46,No,Yes
5/13/2013,Albury,11.3,15.7,9.8,NA,NA,W,41,Yes,Yes
5/14/2013,Albury,1.9,11.6,4.6,NA,NA,N,22,Yes,Yes
5/15/2013,Albury,6.1,13.7,7.4,NA,NA,WNW,39,Yes,Yes
