age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,1,1,2,1,2,1,1,487,2,0,0,1,-1.8,92.893,-46.2,1.313,5099.1,no
39,1,2,2,1,1,1,2,346,4,0,0,1,1.1,93.994,-36.4,4.855,5191,no
25,1,1,2,1,2,1,2,227,1,0,0,1,1.4,94.465,-41.8,4.962,5228.1,no
38,1,1,2,1,0,0,2,17,3,0,0,1,1.4,94.465,-41.8,4.959,5228.1,no
47,1,1,3,1,2,1,1,58,1,0,0,1,-0.1,93.2,-42,4.191,5195.8,no
32,1,2,3,1,1,1,1,128,3,0,2,2,-1.1,94.199,-37.5,0.884,4963.6,no
32,1,2,3,1,2,1,1,290,4,0,0,1,-1.1,94.199,-37.5,0.879,4963.6,no
41,1,1,3,0,2,1,1,44,2,0,0,1,-0.1,93.2,-42,4.191,5195.8,no
31,1,3,4,1,1,1,1,68,1,0,1,2,-0.1,93.2,-42,4.153,5195.8,no
35,1,1,2,0,1,1,2,170,1,0,0,1,1.1,93.994,-36.4,4.855,5191,no
25,1,2,2,0,2,1,1,301,1,0,0,1,1.4,93.918,-42.7,4.958,5228.1,no
36,1,2,2,1,1,1,1,148,1,0,0,1,1.4,93.918,-42.7,4.968,5228.1,no
36,1,1,2,1,1,1,2,97,2,0,0,1,1.1,93.994,-36.4,4.859,5191,no
47,1,1,2,1,2,1,2,211,2,0,0,1,1.4,94.465,-41.8,4.958,5228.1,no
29,1,2,2,1,1,1,1,553,2,0,0,1,-1.8,92.893,-46.2,1.313,5099.1,no
27,1,2,3,1,1,1,1,698,2,0,0,1,1.4,93.918,-42.7,4.963,5228.1,no
44,1,3,3,1,1,1,1,191,6,0,0,1,1.4,93.918,-42.7,4.957,5228.1,no
46,1,3,3,1,2,1,2,59,4,0,0,1,1.4,93.918,-42.7,4.962,5228.1,no
45,1,1,3,0,2,2,1,38,2,0,0,1,1.4,93.444,-36.1,4.965,5228.1,no
50,1,1,2,1,1,2,1,849,1,0,0,1,1.4,93.918,-42.7,4.961,5228.1,yes
55,1,1,2,0,2,1,1,326,6,0,0,1,1.4,93.918,-42.7,4.962,5228.1,no
39,1,3,2,1,1,1,1,222,1,12,2,3,-1.8,93.369,-34.8,0.639,5008.7,yes
29,1,2,3,1,2,2,1,626,3,0,0,1,1.4,93.444,-36.1,4.967,5228.1,no
40,1,1,2,1,1,2,1,119,1,0,0,1,1.4,93.444,-36.1,4.965,5228.1,no
44,1,1,4,0,2,1,2,388,7,0,0,1,1.1,93.994,-36.4,4.864,5191,no
38,1,1,4,1,2,1,1,479,1,0,0,1,1.4,93.444,-36.1,4.965,5228.1,yes
36,1,3,4,1,1,1,2,446,1,0,0,1,1.1,93.994,-36.4,4.856,5191,no
28,1,1,2,0,1,1,1,68,2,0,1,2,-1.8,92.893,-46.2,1.299,5099.1,no
47,1,2,0,0,1,1,2,127,1,0,0,1,1.1,93.994,-36.4,4.86,5191,no
